study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P180,"Spekman, M. L., Konijn, E. A., & Hoorn, J. F. (2021). How physical presence overrides emotional (coping) effects in HRI: Testing the transfer of emotions and emotional coping in interaction with a humanoid social robot. International Journal of Social Robotics, 13, 407-428.","@article{spekman2021physical,
  title={How physical presence overrides emotional (coping) effects in HRI: Testing the transfer of emotions and emotional coping in interaction with a humanoid social robot},
  author={Spekman, Marloes LC and Konijn, Elly A and Hoorn, Johan F},
  journal={International Journal of Social Robotics},
  volume={13},
  pages={407--428},
  year={2021},
  publisher={Springer}
}",2021,1,Department of Sociology; Department of Communication Science; ,COMM,SS,,QUANT,emotional coping,well-being,"Appraisals of coping potential, perception on robot, coping strategies",emotional coping,SOCIAL,LAB,1,SINGLE,101,factorial design,,general,N.R.,21.38,"M26, F75",0,75,26,GENDER,Dutch,Netherlands,Western Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,N/A,N.R.,WoZ,N.R.,WoZ,1,0,0,1,,0,0,,,QUESTIONNAIRES,statistical analysis,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P180,"Spekman, M. L., Konijn, E. A., & Hoorn, J. F. (2021). How physical presence overrides emotional (coping) effects in HRI: Testing the transfer of emotions and emotional coping in interaction with a humanoid social robot. International Journal of Social Robotics, 13, 407-428.","@article{spekman2021physical,
  title={How physical presence overrides emotional (coping) effects in HRI: Testing the transfer of emotions and emotional coping in interaction with a humanoid social robot},
  author={Spekman, Marloes LC and Konijn, Elly A and Hoorn, Johan F},
  journal={International Journal of Social Robotics},
  volume={13},
  pages={407--428},
  year={2021},
  publisher={Springer}
}",2021,2,Department of Sociology; Department of Communication Science; ,COMM,SS,,QUANT,emotional coping,well-being,"Appraisals of coping potential, perception on robot, coping strategies",emotional coping,SOCIAL,LAB,1,SINGLE,110,factorial design,,general,N.R.,21.77,"M39, F71",0,71,39,GENDER,Dutch,Netherlands,Western Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,N/A,N.R.,WoZ,N.R.,WoZ,1,0,0,1,,0,0,,,QUESTIONNAIRES,statistical analysis,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P181,"Ribino, P., Bonomolo, M., Lodato, C., & Vitale, G. (2021). A humanoid social robot based approach for indoor environment quality monitoring and well-being improvement. International Journal of Social Robotics, 13, 277-296.","@article{ribino2021humanoid,
  title={A humanoid social robot based approach for indoor environment quality monitoring and well-being improvement},
  author={Ribino, Patrizia and Bonomolo, Marina and Lodato, Carmelo and Vitale, Gianpaolo},
  journal={International Journal of Social Robotics},
  volume={13},
  pages={277--296},
  year={2021},
  publisher={Springer}
}",2021,1,Institute of High Performance and Networking; ,CS,,,SYSTEM,wellbeing improvement,well-being,N/A,"indoor environment monitoring, workplace",TECHNICAL,WORKPLACE,N.R.,N.R.,10,feasibility,,general,31-57,N.R.,"M5, F5",0,5,5,N.R.,Italian,Italy,Southern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,unclear,A,N.R.,A,1,0,0,0,,0,0,,,MIXED,"descriptive statistics, behavioral response",,COGNITIVE ARCHITECTURE,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,the robot task is for improving wellbeing but the interaction doesn't seem to have much affective features
P182,"Chita-Tegmark, M., & Scheutz, M. (2021). Assistive robots for the social management of health: a framework for robot design and human–robot interaction research. International Journal of Social Robotics, 13(2), 197-217.","@article{chita2021assistive,
  title={Assistive robots for the social management of health: a framework for robot design and human--robot interaction research},
  author={Chita-Tegmark, Meia and Scheutz, Matthias},
  journal={International Journal of Social Robotics},
  volume={13},
  number={2},
  pages={197--217},
  year={2021},
  publisher={Springer}
}",2021,0,Tufts University,N.R.,,,REVIEW,social mediation,other,N/A,clinical,HEALTH,N/A,N/A,N/A,N/A,N/A,,general,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,interacting,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,1,1,0,0,review work,,N/A,N/A,,N/A,N/A,N/A,N/A,"autonomy, dignity, ownership, control and authority of SAR, deception and unidirectional emotional bond, impact on human-human interaction","cultural differences, ",1,,N/A,N/A,Y,
P184,"Lima, M. R., Wairagkar, M., Natarajan, N., Vaitheswaran, S., & Vaidyanathan, R. (2021). Robotic telemedicine for mental health: a multimodal approach to improve human-robot engagement. Frontiers in Robotics and AI, 8, 618866.","@article{lima2021robotic,
  title={Robotic telemedicine for mental health: a multimodal approach to improve human-robot engagement},
  author={Lima, Maria R and Wairagkar, Maitreyee and Natarajan, Nirupama and Vaitheswaran, Sridhar and Vaidyanathan, Ravi},
  journal={Frontiers in Robotics and AI},
  volume={8},
  pages={618866},
  year={2021},
  publisher={Frontiers Media SA}
}",2021,4,"Department of Mechanical Engineering, Imperial College London, and UK Dementia Research Institute—Care Research and Technology Centre, London, United Kingdom; Schizophrenia Research Foundation (SCARF), Chennai, India",ENG,MED,,MULTI (MIXED),cognitive engagement,eldercare,"robot emotion recognition, user experience, acceptability",dementai care,SOCIAL,LAB,3,<=10,1,feasibility,,dementia,67,67,M1,0,0,1,N.R.,N.R.,India,Southern Asia,,CUSTOM,N/A,N/A,N/A,N/A,physical,interacting,WoZ,N/A,facial expression,WoZ,N/A,WoZ,1,1,0,1,1,0,0,elderly empirical study,,MIXED,"descriptive statistics, interview",,ALGORITHM,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P188,"Yoon, S., Alimardani, M., & Hiraki, K. (2021, March). The effect of robot-guided meditation on intra-brain EEG phase synchronization. In Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction (pp. 318-322).","@inproceedings{yoon2021effect,
  title={The effect of robot-guided meditation on intra-brain EEG phase synchronization},
  author={Yoon, Sue and Alimardani, Maryam and Hiraki, Kazuo},
  booktitle={Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={318--322},
  year={2021}
}",2021,1,"Department of Cognitive Science &
Artificial Intelligence;  Graduate School of Arts and Sciences",CS,,,QUANT,mindfulness,well-being,EEG phase synchronization,therapy,THER,LAB,1,SINGLE,28,between-subject,,general,N.R.,20.2,N.R.,N.R.,N.R.,N.R.,N.R.,Japanese,Japan,East Asia,,PEPPER,N/A,N/A,N/A,N/A,physical,interacting,A,EEG,gestures,A,N.R.,N.R.,1,0,0,1,,0,1,,,PHYSIOL_SENSORS,statistical analysis,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P190,"Langholf, L., Battefeld, D., Henning, K., Zatrib, R., Groß, A., Richter, B., ... & Schneider, S. (2021, March). Testing the Elaboration Likelihood Model of Persuasion on the Acceptance of Health Regulations in a Video Human-Robot Interaction Study. In Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction (pp. 121-125).","@inproceedings{langholf2021testing,
  title={Testing the Elaboration Likelihood Model of Persuasion on the Acceptance of Health Regulations in a Video Human-Robot Interaction Study},
  author={Langholf, Lena and Battefeld, Dominik and Henning, Kristina and Zatrib, Robin and Gro{\ss}, Andr{\'e} and Richter, Birte and Vollmer, Anna-Lisa and Schneider, Sebastian},
  booktitle={Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={121--125},
  year={2021}
}",2021,1,Bielefeld University,N.R.,,,QUANT,health regulation acceptance,other,persuasive robot acceptance,health regulation,SOCIAL,online survey,2,<=10,83,mixed design study,,general,N.R.,29.16,"M41, F42",0,42,41,GENDER,German,Germany,Western Europe,,PEPPER,N/A,N/A,N/A,N/A,video,observing,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,N/A,N/A,online survey,,QUESTIONNAIRES,statistical analysis,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,no affective behavior
P191,"Nesset, B., Robb, D. A., Lopes, J., & Hastie, H. (2021, March). Transparency in hri: Trust and decision making in the face of robot errors. In Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction (pp. 313-317).","@inproceedings{nesset2021transparency,
  title={Transparency in hri: Trust and decision making in the face of robot errors},
  author={Nesset, Birthe and Robb, David A and Lopes, Jos{\'e} and Hastie, Helen},
  booktitle={Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={313--317},
  year={2021}
}",2021,1,Heriot-Watt University,N.R.,,,QUANT,trust in robot,robot evaluation,trust,clinical,SOCIAL,online survey,1,SINGLE,61,within-subject,,general,N/A,33.4,"M31, F26",0,26,31,GENDER,English,U.K.,Northern Europe,,PEPPER,N/A,N/A,N/A,N/A,video,observing,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,0,1,0,0,video observation survey,,QUESTIONNAIRES,statistical analysis,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,no affective behavior
P202,"Céspedes, N., Raigoso, D., Múnera, M., & Cifuentes, C. A. (2021). Long-term social human-robot interaction for neurorehabilitation: robots as a tool to support gait therapy in the pandemic. Frontiers in Neurorobotics, 15, 612034.","@article{cespedes2021long,
  title={Long-term social human-robot interaction for neurorehabilitation: robots as a tool to support gait therapy in the pandemic},
  author={C{\'e}spedes, Nathalia and Raigoso, Denniss and M{\'u}nera, Marcela and Cifuentes, Carlos A},
  journal={Frontiers in Neurorobotics},
  volume={15},
  pages={612034},
  year={2021},
  publisher={Frontiers Media SA}
}",2021,1,"Departament of Biomedical Engineering, Colombian School of Engineering Julio Garavito, Bogotá, Colombia",ENG,,,MULTI (MIXED),gait therapy,physical health,"attitude toward robot, usability",clinical,SOCIAL,CLINIC,15,<=30,10,long-term,,rehabilitation patients,N.R.,35.5,"M7, F3",0,3,7,GENDER,Spanish,Columbia,South America,,NAO,N/A,N/A,N/A,N/A,physical,interacting,A,"heart rate, posture monitoring",motivational phrases,A,hear rate monitoring,A,1,0,0,1,,1,0,,,PHYSIOL_SENSORS,time-series and statistical analysis,,CONTROL SYSTEM,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P203,"Sabinson, E., Pradhan, I., & Evan Green, K. (2021, February). Plant-human embodied biofeedback (pheB): A soft robotic surface for emotion regulation in confined physical space. In Proceedings of the Fifteenth International Conference on Tangible, Embedded, and Embodied Interaction (pp. 1-14).","@inproceedings{sabinson2021plant,
  title={Plant-human embodied biofeedback (pheB): A soft robotic surface for emotion regulation in confined physical space},
  author={Sabinson, Elena and Pradhan, Isha and Evan Green, Keith},
  booktitle={Proceedings of the Fifteenth International Conference on Tangible, Embedded, and Embodied Interaction},
  pages={1--14},
  year={2021}
}",2021,1,Cornell University,N.R.,,,QUANT,emotion regulation,well-being,N.R.,general,OTHER,N/A,1,SINGLE,5,feasibility,,general,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,English,USA,North America,,CUSTOM,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,soft surface inflation/deflation,A,N/A,N/A,1,1,0,1,,0,0,,,MIXED,survey and interview,,N/A,PD,online participant,questionnaire,N/A,N/A,0,,N/A,N/A,Y,"not a typical wellbeing interaction, unsure if haptic interactions is considered affective"
P214,"De Carolis, B., Flace, G., Macchiarulo, N., Melone, G., & la Forgia, A. (2021). Dialog Management for a Social Assistive Robot in the Domain of Elderly Care. In AIxAS@ AI* IA (pp. 41-51).","@inproceedings{de2021dialog,
  title={Dialog Management for a Social Assistive Robot in the Domain of Elderly Care.},
  author={De Carolis, Berardina and Flace, Giampaolo and Macchiarulo, Nicola and Melone, Giovanni and la Forgia, Angela},
  booktitle={AIxAS@ AI* IA},
  pages={41--51},
  year={2021}
}",2021,0,"Department of Computer Science, University of Bari Italy",CS,,,SYSTEM,elderly care,eldercare,N.R.,clinical,TECHNICAL,HOME,N/A,N/A,N/A,N/A,,older adults,N/A,N/A,N/A,0,0,0,N/A,Italian,Italy,Southern Europe,,N/A,N/A,N/A,N/A,N/A,N/A,interacting,A,N/A,N.R.,A,emotion recognition from voice,A,1,0,0,1,,0,0,,,N/A,preliminary (no details though),,DEEP LEARNING,N/A,N/A,N/A,N/A,N/A,0,,N/A,N/A,Y,
P218,"Zhong, M., Bilal, A. M., Papadopoulos, F. C., & Castellano, G. (2021). Psychiatrists’ views on robot-assisted diagnostics of peripartum depression. In Social Robotics: 13th International Conference, ICSR 2021, Singapore, Singapore, November 10–13, 2021, Proceedings 13 (pp. 464-474). Springer International Publishing.","@inproceedings{zhong2021psychiatrists,
  title={Psychiatrists’ views on robot-assisted diagnostics of peripartum depression},
  author={Zhong, Mengyu and Bilal, Ayesha Mae and Papadopoulos, Fotios C and Castellano, Ginevra},
  booktitle={Social Robotics: 13th International Conference, ICSR 2021, Singapore, Singapore, November 10--13, 2021, Proceedings 13},
  pages={464--474},
  year={2021},
  organization={Springer}
}",2021,1,Department of Information Technology; Department of Neuroscience; ,CS,MED,,QUAL,peripartum deprsesion,well-being,N/A,clinical,MENTAL,CLINIC,1,SINGLE,3,interview,,health care professionals,N.R.,44.3,"M1, F2",0,2,1,N.R.,Swedish,Sweden,Northern Europe,,furhat,N/A,N/A,N/A,N/A,picture,observing,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,0,0,N/A,0,user-centred interviews,,INTERVIEWS,thematic analysis,,N/A,user-centred (interviews),N/A,N/A,patient preference,hospital staff job security,1,,0,1,Y,
P219,"Bradwell, H., Winnington, R., Thill, S., & Jones, R. B. (2021). Prioritising design features for companion robots aimed at older adults: Stakeholder survey ranking results. In Social Robotics: 13th International Conference, ICSR 2021, Singapore, Singapore, November 10–13, 2021, Proceedings 13 (pp. 774-779). Springer International Publishing.","@inproceedings{bradwell2021prioritising,
  title={Prioritising design features for companion robots aimed at older adults: Stakeholder survey ranking results},
  author={Bradwell, Hannah and Winnington, Rhona and Thill, Serge and Jones, Ray B},
  booktitle={Social Robotics: 13th International Conference, ICSR 2021, Singapore, Singapore, November 10--13, 2021, Proceedings 13},
  pages={774--779},
  year={2021},
  organization={Springer}
}",2021,1,"EPIC Project, University of Plymouth; Department of Nursing; Donders Centre for Cognition; ",MED,,,QUANT,companionship,eldercare,design feature preference,companionship,OTHER,Survey,1,SINGLE,113,N/A,,health care professionals,18-75,48.1,"M17, F87",0,87,17,N.R.,English,unclear,N/R,,PARO,Miro,PLEO,Hasbro Joy for All Pet Robots,Furby,physical,interacting,A,N/A,N/A,N.R.,N.R.,N.R.,0,1,0,0,1,N/A,0,single session study,,SURVEYS,descriptive statistics,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,application related to cmpanionship but no explicit discussion of robot's affective behavior
P223,"Lima, M. R., Wairagkar, M., Gupta, M., y Baena, F. R., Barnaghi, P., Sharp, D. J., & Vaidyanathan, R. (2021). Conversational affective social robots for ageing and dementia support. IEEE Transactions on Cognitive and Developmental Systems, 14(4), 1378-1397.","@article{lima2021conversational,
  title={Conversational affective social robots for ageing and dementia support},
  author={Lima, Maria R and Wairagkar, Maitreyee and Gupta, Manish and y Baena, Ferdinando Rodriguez and Barnaghi, Payam and Sharp, David J and Vaidyanathan, Ravi},
  journal={IEEE Transactions on Cognitive and Developmental Systems},
  volume={14},
  number={4},
  pages={1378--1397},
  year={2021},
  publisher={IEEE}
}",2021,0,Department of Mechanical Engineering; Google Research India; Hamlyn Centre for Robotic Surgery; Department of Brain Sciences; Care Research and Technology Centre; Dementia Research Institute,MED,ENG,,REVIEW,aging and dementia support,eldercare,N/A,clinical,OTHER,N/A,N/A,N/A,N/A,N/A,,older adults,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,physical,interacting,N/A,N/A,N/A,N/A,N/A,N/A,1,0,1,1,,N/A,N/A,,,N/A,N/A,,N/A,N/A,N/A,N/A,"reduced human contact, loss of privacy, emotional deception, attachment to robot, trust, transparency, safety","bias, cultural difference",1,,N/A,N/A,Y,
P224,"Mishra, N., Tulsulkar, G., Li, H., Thalmann, N. M., Er, L. H., Ping, L. M., & Khoong, C. S. (2021). Does elderly enjoy playing bingo with a robot? a case study with the humanoid robot nadine. In Advances in Computer Graphics: 38th Computer Graphics International Conference, CGI 2021, Virtual Event, September 6–10, 2021, Proceedings 38 (pp. 491-503). Springer International Publishing.","@inproceedings{mishra2021does,
  title={Does elderly enjoy playing bingo with a robot? a case study with the humanoid robot nadine},
  author={Mishra, Nidhi and Tulsulkar, Gauri and Li, Hanhui and Thalmann, Nadia Magnenat and Er, Lim Hwee and Ping, Lee Mei and Khoong, Cheng Siok},
  booktitle={Advances in Computer Graphics: 38th Computer Graphics International Conference, CGI 2021, Virtual Event, September 6--10, 2021, Proceedings 38},
  pages={491--503},
  year={2021},
  organization={Springer}
}",2021,1,"Institute for Media Innovation; MIRALab, University of Geneva; Goshen Consultancy Services; Bright Hill Evergreen Home",CS,MED,,QUANT,engagement,robot evaluation,"smile, neutral, body score, optical flow",older adult care,OTHER,CARE-CENTER,24,<=30,29,within-subject,,older adults,60+,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,English and Mandarin,Singapore,South-eastern Asia ,,Nadine,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,"facial expression, gestures, eye contact",A,"facial expression recognition, activity detector, optical flow estimator",A,1,0,0,1,,0,0,,,OBSERVATIONS,"statistical analyses, interview quotes",,DEEP LEARNING,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P226,"Hefter, E., Perry, C., Coiro, N., Parsons, H., Zhu, S., & Li, C. (2021). Development of a Multi-sensor Emotional Response System for Social Robots. In Interactive Collaborative Robotics: 6th International Conference, ICR 2021, St. Petersburg, Russia, September 27–30, 2021, Proceedings 6 (pp. 88-99). Springer International Publishing.","@inproceedings{hefter2021development,
  title={Development of a Multi-sensor Emotional Response System for Social Robots},
  author={Hefter, Estilla and Perry, Charlotte and Coiro, Nicholas and Parsons, Harry and Zhu, Shuo and Li, Chunxu},
  booktitle={Interactive Collaborative Robotics: 6th International Conference, ICR 2021, St. Petersburg, Russia, September 27--30, 2021, Proceedings 6},
  pages={88--99},
  year={2021},
  organization={Springer}
}",2021,1,Center for Robotics and Neural Systems; College of Automation and Electronic Engineering,CS,ENG,,SYSTEM,loneliness,loneliness,emotional state,general,TECHNICAL,N/A,N/A,N/A,N/A,N/A,emotional state classification system,general,N/A,N/A,N/A,0,0,0,N/A,English,U.K.,Northern Europe,,N/A,N/A,N/A,N/A,N/A,physical,interacting,N/A,N/A,N/A,N/A,facial expression and touch behavior,A,1,0,0,1,,N/A,N/A,,,N/A,classification performance,,DEEP LEARNING,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Y,
P229,"Ghafurian, M., Ellard, C., & Dautenhahn, K. (2021). Social companion robots to reduce isolation: A perception change due to COVID-19. In Human-Computer Interaction–INTERACT 2021: 18th IFIP TC 13 International Conference, Bari, Italy, August 30–September 3, 2021, Proceedings, Part II 18 (pp. 43-63). Springer International Publishing.","@inproceedings{ghafurian2021social,
  title={Social companion robots to reduce isolation: A perception change due to COVID-19},
  author={Ghafurian, Moojan and Ellard, Colin and Dautenhahn, Kerstin},
  booktitle={Human-Computer Interaction--INTERACT 2021: 18th IFIP TC 13 International Conference, Bari, Italy, August 30--September 3, 2021, Proceedings, Part II 18},
  pages={43--63},
  year={2021},
  organization={Springer}
}",2021,1,Department of Electrical and Computer Engineering; Department of Psychology; Department of Systems Design Engineering,CS,ENG,PSY,QUANT,perceived benefit of social robots for isolation,robot evaluation,"loneliness, Big 5 personality , perception of robot",general,SOCIAL,online survey,1,SINGLE,102,single session,,general,18-66,34.6,"M61, F41",0,41,61,GENDER,English,Canada,North America,,N/A,N/A,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,1,1,N/A,N/A,survey online,,SURVEYS,"statistical analyses, interview quotes",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P229,"Ghafurian, M., Ellard, C., & Dautenhahn, K. (2021). Social companion robots to reduce isolation: A perception change due to COVID-19. In Human-Computer Interaction–INTERACT 2021: 18th IFIP TC 13 International Conference, Bari, Italy, August 30–September 3, 2021, Proceedings, Part II 18 (pp. 43-63). Springer International Publishing.","@inproceedings{ghafurian2021social,
  title={Social companion robots to reduce isolation: A perception change due to COVID-19},
  author={Ghafurian, Moojan and Ellard, Colin and Dautenhahn, Kerstin},
  booktitle={Human-Computer Interaction--INTERACT 2021: 18th IFIP TC 13 International Conference, Bari, Italy, August 30--September 3, 2021, Proceedings, Part II 18},
  pages={43--63},
  year={2021},
  organization={Springer}
}",2021,2,Department of Electrical and Computer Engineering; Department of Psychology; Department of Systems Design Engineering,CS,ENG,PSY,QUANT,perceived benefit of social robots for isolation,robot evaluation,"loneliness, Big 5 personality , perception of robot",general,SOCIAL,online survey,1,SINGLE,138,single session,,general,25-72,33.6,"M72, F59, unknow 1",0,59,72,GENDER,English,Canada,North America,,N/A,N/A,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,1,1,N/A,N/A,survey online,,SURVEYS,"statistical analyses, interview quotes",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P230,"Gibelli, F., Ricci, G., Sirignano, A., Turrina, S., & De Leo, D. (2021). The increasing centrality of robotic technology in the context of nursing care: bioethical implications analyzed through a scoping review approach. Journal of Healthcare Engineering, 2021.","@article{gibelli2021increasing,
  title={The increasing centrality of robotic technology in the context of nursing care: bioethical implications analyzed through a scoping review approach},
  author={Gibelli, Filippo and Ricci, Giovanna and Sirignano, Ascanio and Turrina, Stefania and De Leo, Domenico},
  journal={Journal of Healthcare Engineering},
  volume={2021},
  year={2021},
  publisher={Hindawi}
}",2021,0,"Department of Diagnostics and Public Health; Section of Legal Medicine, School of Law",MED,HUM,,REVIEW,nursing care,eldercare,B.A,nursing,HEALTH,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,1,,N/A,N/A,,,N/A,N/A,,N/A,N/A,N/A,N/A,socio-emotional,"role of robots in nursing, justice",1,,0,0,Y,
P231,"Yan, F., Yang, X., Li, N., Yu, X., & Zhai, H. (2021). Emotion generation and transition of companion robots based on Plutchik’s model and quantum circuit schemes. Security and Communication Networks, 2021, 1-15.","@article{yan2021emotion,
  title={Emotion generation and transition of companion robots based on Plutchik’s model and quantum circuit schemes},
  author={Yan, Fei and Yang, Xue and Li, Nianqiao and Yu, Xu and Zhai, Hongyu},
  journal={Security and Communication Networks},
  volume={2021},
  pages={1--15},
  year={2021},
  publisher={Hindawi Limited}
}",2021,0,School of Computer Science and Technology; College of Information Science and Technology,CS,,,THEOR,robot emotion modeling,robot evaluation,N/A,general ,OTHER,N/A,N/A,N/A,N/A,N/A,theroetical model proposal,general,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,interacting,N/A,N/A,unclear,N/A,N.R.,N.R.,1,0,0,1,,N/A,0,,,N/A,N/A,,Quantum circuit scheme,N/A,N/A,N/A,N/A,N/A,0,,N/A,N/A,Y,"robot emotion transition modeling, not implemented though"
P232,"Ihamäki, P., & Heljakka, K. (2021). Robot pets as “Serious Toys”-activating social and emotional experiences of elderly people. Information Systems Frontiers, 1-15.","@article{ihamaki2021robot,
  title={Robot pets as “Serious Toys”-activating social and emotional experiences of elderly people},
  author={Iham{\""a}ki, Pirita and Heljakka, Katriina},
  journal={Information Systems Frontiers},
  pages={1--15},
  year={2021},
  publisher={Springer}
}",2021,1,"Prizztech Ltd, Pori, Finland; University of Turku",N.R.,,,QUAL,social and emotional activation,eldercare,socio-emotional engagement,older adult care,SOCIAL,CARE-CENTER,1,SINGLE,18,focus group,,older adults,65-85 and 5-8,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,Finnish or Swedish?,Finland,Northern Europe,,Golden Pup,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,N/A,A,N.R.,N.R.,0,1,0,1,0,0,0,,,FOCUS GROUP,ground theory approach,,N/A,user-centred (focus group),N/A,N/A,N/A,N/A,0,,0,0,Y,
P232,"Ihamäki, P., & Heljakka, K. (2021). Robot pets as “Serious Toys”-activating social and emotional experiences of elderly people. Information Systems Frontiers, 1-15.","@article{ihamaki2021robot,
  title={Robot pets as “Serious Toys”-activating social and emotional experiences of elderly people},
  author={Iham{\""a}ki, Pirita and Heljakka, Katriina},
  journal={Information Systems Frontiers},
  pages={1--15},
  year={2021},
  publisher={Springer}
}",2021,2,"Prizztech Ltd, Pori, Finland; University of Turku",N.R.,,,QUAL,social and emotional activation,eldercare,socio-emotional engagement,older adult care,SOCIAL,CARE-CENTER,1,SINGLE,10,observation,,older adults,65-80,N.R.,"M3, F7",0,7,3,N.R.,Finnish or Swedish?,Finland,Northern Europe,,Golden Pup,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,response to touch  and sound behavior,A,N.R.,N.R.,1,0,0,1,,0,0,,,INTERVIEWS,"ground theory approach, observations",,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P236,"Miller, J., & McDaniel, T. (2021). Social Robotics to Address Isolation and Depression Among the Aging During and After COVID-19. In HCI International 2021-Posters: 23rd HCI International Conference, HCII 2021, Virtual Event, July 24–29, 2021, Proceedings, Part II 23 (pp. 164-171). Springer International Publishing.","@inproceedings{miller2021social,
  title={Social Robotics to Address Isolation and Depression Among the Aging During and After COVID-19},
  author={Miller, Jordan and McDaniel, Troy},
  booktitle={HCI International 2021-Posters: 23rd HCI International Conference, HCII 2021, Virtual Event, July 24--29, 2021, Proceedings, Part II 23},
  pages={164--171},
  year={2021},
  organization={Springer}
}",2021,0,"Center for Cognitive Ubiquitous Computing (CUbiC), School of Computing, Informatics, and Decision Systems Engineering (CIDSE), Ira A. Fulton Schools of Engineering; The Polytechnic School (TPS), Ira A. Fulton Schools of Engineering",CS,ENG,,ESSAY,isolation and depression,psychopathology,N/A,older adult care,MENTAL,N/A,N/A,N/A,N/A,N/A,discussion piece,older adults,N/A,N/A,N/A,0,0,0,N/A,English,USA,North America,,N/A,N/A,N/A,N/A,N/A,physical,interacting,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,theoretical paper,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,0,,N/A,N/A,Y,very lightly touch on what features should be developed for social robots to be accepted by healthy older adults 
